#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 39.000000 0.694568 -1.375389 8.452484
 39.200000 0.850283 -0.509409 13.788708
 39.400000 1.121013 0.298010 7.409453
 39.600000 0.756367 0.696714 3.127972
 39.800000 1.043066 0.164054 9.234136
 40.000000 1.411335 -1.071756 11.539368
 40.200000 1.254251 -1.500796 8.988753
 40.400000 1.011001 -1.648502 7.619379
 40.600000 1.129432 -1.597042 8.190401
 40.800000 1.097638 -1.082418 14.536929
 41.000000 0.974597 -0.840370 15.134708
 41.200000 0.787172 -0.331847 12.856404
 41.400000 1.185956 -0.081487 10.890262
 41.600000 0.901978 -0.105882 11.845357
 41.800000 1.282503 -0.798625 14.742526
 42.000000 1.026797 -1.230831 13.540826
 42.200000 0.939540 -1.787565 6.079990
 42.400000 1.011438 -1.929217 4.743484
 42.600000 0.725895 -1.495752 8.917867
 42.800000 0.937342 -1.375272 12.005576
 43.000000 1.196862 -0.929892 15.821600
 43.200000 0.897692 -0.402827 14.176898
 43.400000 0.926250 0.049271 10.551998
 43.600000 1.184284 -0.019954 10.366124
 43.800000 0.940070 0.003881 10.980993
 44.000000 1.120355 -0.686642 16.191297
 44.200000 0.950655 -1.336469 12.975832
 44.400000 1.078902 -2.462207 1.380776
 44.600000 1.238167 2.966440 0.003498
 44.800000 0.917947 -3.094130 0.032343
 45.000000 1.017096 -1.818811 5.842908
 45.200000 0.728035 -0.573068 14.089439
 45.400000 0.712379 0.023535 9.908478
 45.600000 0.578674 0.375388 5.792012
 45.800000 0.830372 0.417773 6.358400
 46.000000 0.731424 0.422405 6.046508
 46.200000 0.664512 0.096567 9.526136
 46.400000 1.078561 -0.690080 16.900956
 46.600000 1.071199 -1.480062 11.317039
 46.800000 1.022640 -1.718065 7.958075
 47.000000 1.082062 -1.708747 8.047403
 47.200000 1.326954 -1.167041 14.398741
 47.400000 1.195830 -0.359981 13.740730
 47.600000 0.917555 0.436873 7.053132
 47.800000 0.604552 0.542122 5.097259
 48.000000 1.183041 -0.279646 13.084466
 48.200000 1.182989 -1.166175 15.681482
 48.400000 0.679395 -2.123235 3.358083
 48.600000 0.990967 -2.421860 1.832322
 48.800000 1.020089 -2.628760 0.772946
 49.000000 0.620792 -2.285032 1.998210
 49.200000 0.982386 -1.982700 6.301563
 49.400000 0.744346 -1.098586 14.157368
 49.600000 0.663211 -0.131299 11.268768
 49.800000 1.213396 0.388942 6.596247
 50.000000 0.803801 0.541750 5.724375
 50.200000 0.970272 -0.418763 15.573739
 50.400000 1.057150 -1.443815 12.553932
 50.600000 0.924920 -2.068989 5.483476
 50.800000 1.064900 -2.038022 5.805649
 51.000000 0.944480 -1.588105 10.486683
 51.200000 1.145928 -0.961013 17.384194
 51.400000 1.010983 -0.186093 13.705810
 51.600000 1.053846 -0.123214 13.077313
 51.800000 1.027824 -0.534073 16.449570
 52.000000 1.063600 -1.015258 17.344741
 52.200000 0.865354 -1.293437 14.681868
 52.400000 0.946884 -1.046586 17.348879
 52.600000 0.876273 -0.509984 15.895917
 52.800000 0.984020 -0.085201 12.895504
 53.000000 1.189718 -0.326678 14.241084
 53.200000 1.022357 -0.426216 16.399096
 53.400000 0.965759 -0.599105 17.379318
 53.600000 1.289892 -0.330385 13.944604
 53.800000 1.060500 -0.117118 13.536055
 54.000000 0.948226 -0.076797 13.265119
 54.200000 1.013546 -0.346825 16.228879
 54.400000 1.023377 -0.708043 18.136025
 54.600000 0.987716 -1.221879 16.209577
 54.800000 0.851039 -1.436511 12.889549
 55.000000 1.109720 -1.619167 10.946723
 55.200000 1.094052 -1.094648 17.721186
 55.400000 1.149163 -0.035062 12.899396
 55.600000 0.608704 0.725362 4.003614
 55.800000 1.134697 0.761921 3.467164
 56.000000 0.952601 0.005196 13.170383
 56.200000 0.923274 -0.850103 17.896498
 56.400000 0.824913 -1.530890 12.136801
 56.600000 0.986249 -2.044074 6.414226
 56.800000 0.861684 -2.049917 6.126674
 57.000000 0.942618 -1.957349 7.353506
 57.200000 1.073495 -1.915242 8.741677
 57.400000 0.880306 -1.224868 15.971915
 57.600000 1.045315 -0.760025 18.378213
 57.800000 1.114031 -0.169193 15.004475
 58.000000 1.263149 -0.078261 12.867564
 58.200000 0.985044 -0.147468 15.771309
 58.400000 1.026032 -0.398146 17.335684
 58.600000 1.042579 -1.036173 18.087018
 58.800000 1.181332 -1.382719 14.686984
 59.000000 1.057939 -1.277567 16.255415
 59.200000 1.178065 -0.783898 18.355490
 59.400000 1.142745 -0.340383 16.675556
 59.600000 0.861273 -0.155619 15.396988
 59.800000 1.042380 -0.517069 17.885980
 60.000000 1.045532 -0.906412 18.798680
 60.200000 0.984986 -1.419105 15.333832
 60.400000 0.734021 -1.786816 9.265935
 60.600000 0.681079 -2.011083 6.529452
 60.800000 0.757413 -1.834933 8.910696
 61.000000 0.788258 -1.646707 11.334108
 61.200000 0.646499 -0.932564 14.782052
 61.400000 1.037398 -0.152828 15.830278
 61.600000 1.291140 0.600535 4.716691
 61.800000 0.862568 0.802232 3.553061
 62.000000 1.036286 -0.621462 18.640856
 62.200000 0.853651 -1.686159 12.041581
 62.400000 1.244353 -2.718497 0.825053
 62.600000 0.944664 -3.137265 0.068228
 62.800000 1.170796 -2.913211 0.287926
 63.000000 1.040518 -1.795332 11.008853
 63.200000 1.233446 -0.207120 15.297327
 63.400000 1.098146 0.625284 5.417973
 63.600000 0.839311 0.665442 5.322286
 63.800000 1.101644 -0.042135 14.698848
 64.000000 0.693960 -1.089482 15.600664
 64.200000 1.059991 -2.293934 4.716401
 64.400000 1.074608 -2.895944 0.348933
 64.600000 0.831972 -2.704408 1.060087
 64.800000 0.823074 -1.958288 9.012342
 65.000000 1.070634 -1.393561 16.936941
 65.200000 0.598561 0.013288 11.634303
 65.400000 0.958041 0.628817 5.774047
 65.600000 0.800302 0.821612 3.317968
 65.800000 1.006410 0.189097 12.239649
 66.000000 1.312238 -0.805288 18.334230
 66.200000 0.736858 -1.551930 13.820514
 66.400000 0.928968 -2.429188 3.198811
 66.600000 1.189835 3.012826 0.016224
 66.800000 1.172056 -2.929459 0.262195
 67.000000 0.807935 -1.972616 8.861852
 67.200000 1.355239 -1.184589 17.248122
