#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 56.400000 -1.250291 2.341825 7.004110
 56.600000 -1.611118 2.767207 7.009985
 56.800000 -2.256439 3.012742 10.574787
 57.000000 -2.771589 2.599543 9.960144
 57.200000 -2.142380 2.865803 11.397589
 57.400000 -2.293192 2.792299 12.642072
 57.600000 -2.979458 2.421893 7.515359
 57.800000 -2.477765 2.676236 12.886711
 58.000000 -2.971891 2.730371 8.660533
 58.200000 -2.632526 2.698308 12.822038
 58.400000 -2.330798 2.910477 12.453229
 58.600000 -2.736353 2.598319 11.761326
 58.800000 -2.264572 2.809910 12.803126
 59.000000 -2.540999 2.827401 13.055885
 59.200000 -2.585365 2.920110 13.018471
 59.400000 -2.361053 2.976526 12.527682
 59.600000 -2.772048 2.899551 11.868371
 59.800000 -2.477165 2.846255 13.761317
 60.000000 -2.277623 2.812222 13.453895
 60.200000 -2.807877 2.620645 12.016744
 60.400000 -2.565311 2.635802 14.141146
 60.600000 -2.451196 2.923656 13.827069
 60.800000 -2.752395 2.594473 12.465847
 61.000000 -2.631798 3.016555 12.324665
 61.200000 -2.719332 3.093385 11.410220
 61.400000 -2.765580 3.039169 11.749356
 61.600000 -2.457985 3.052684 12.931347
 61.800000 -2.628311 2.748633 14.536597
 62.000000 -2.624656 2.730463 14.534480
 62.200000 -2.471372 2.863827 15.442467
 62.400000 -2.780849 2.769920 13.770246
 62.600000 -2.443052 3.063180 13.129430
 62.800000 -2.517029 3.110441 12.337412
 63.000000 -2.796886 3.063990 11.520466
 63.200000 -2.281361 -2.919399 6.964518
 63.400000 -2.669368 3.080882 13.001470
 63.600000 -2.473899 2.908448 15.660802
 63.800000 -2.181868 2.787837 14.717434
 64.000000 -1.281708 2.290511 7.526400
 64.200000 -0.991774 2.049859 6.793881
 64.400000 -1.705332 1.851727 9.752010
 64.600000 -2.507190 1.582683 3.124973
 64.800000 -2.552211 2.369506 12.372685
 65.000000 -2.545467 2.658341 15.690245
 65.200000 -2.336768 -2.981183 8.619173
 65.400000 -2.792051 -2.899141 6.596570
 65.600000 -2.315261 2.821580 16.179379
 65.800000 -2.573364 2.340006 12.178262
 66.000000 -2.697386 1.766808 2.961558
 66.200000 -1.839043 1.955500 9.897878
 66.400000 -1.263071 1.799580 9.670468
 66.600000 -0.989547 2.046518 6.790778
 66.800000 -2.401570 2.440994 14.519792
 67.000000 -2.826738 3.081765 11.935227
 67.200000 -2.539468 -2.650729 3.018248
 67.400000 -2.332099 -2.913085 7.461302
 67.600000 -2.695142 2.686834 15.835045
 67.800000 -1.778895 2.379665 11.497515
 68.000000 -0.948282 1.723458 7.653518
 68.200000 -1.991024 1.703421 8.370308
 68.400000 -2.687657 1.802810 4.364642
 68.600000 -2.413455 2.878886 16.726266
 68.800000 -2.234136 -2.668703 2.779663
